Name,Genre,Platform,Release_Season,NA_Sales_Millions,EU_Sales_Millions,Global_Sales_Millions,Developer,Original_Index,User_Score,Rating,Publisher,Steam_App_ID,Price,Year_of_Release
Halo: Combat Evolved,Shooter,XB,Fall,4.98,1.3,6.43,Bungie Software,129,8.6,M,Microsoft Game Studios,-1.0,,2001.0
The Elder Scrolls V: Skyrim,Role-Playing,PS3,Fall,2.55,2.6,6.41,Bethesda Game Studios,130,6.4,M,Bethesda Softworks,-1.0,$49.95,2011.0
Halo 3: ODST,Shooter,X360,Fall,4.34,1.34,6.34,"Bungie Software, Bungie",134,7.1,M,Microsoft Game Studios,-1.0,,2009.0
Street Fighter II: The World Warrior,Fighting,SNES,Spring,2.47,0.83,6.3,"CAPCOM Co., Ltd.",137,,,Capcom,-1.0,,1992.0
Gears of War 3,Shooter,X360,Fall,4.05,1.59,6.21,Epic Games,140,7.8,M,Microsoft Game Studios,-1.0,,2011.0
Metal Gear Solid 2: Sons of Liberty,Action,PS2,Fall,2.45,2.01,6.05,KCEJ,144,8.7,M,Konami Digital Entertainment,-1.0,$16.99,2001.0
Sonic the Hedgehog 2,Platform,GEN,Fall,4.47,1.2,6.03,SEGA,145,,,Sega,-1.0,$4.50,1992.0
Metal Gear Solid 4: Guns of the Patriots,Action,PS3,Summer,2.63,1.71,5.99,Kojima Productions,147,8.7,M,Konami Digital Entertainment,-1.0,,2008.0
Final Fantasy XII,Role-Playing,PS2,Spring,1.88,0.0,5.95,Square Enix,148,7.6,T,Square Enix,-1.0,$6.39,2006.0
Resident Evil 2,Action,PS,Winter,1.88,1.47,5.82,Capcom,151,9.2,M,Virgin Interactive,-1.0,$9.99,1998.0
Resident Evil 2,Role-Playing,DS,Winter,0.63,0.67,5.78,Level 5,152,8.8,E10+,Nintendo,883710.0,$9.99,2009.0
LEGO Star Wars: The Complete Saga,Action,Wii,Fall,3.57,1.55,5.64,Traveller's Tales,155,8.9,E10+,LucasArts,-1.0,$4.99,2007.0
Batman: Arkham City,Action,PS3,Fall,2.71,1.85,5.48,Rocksteady Studios,164,8.6,T,Warner Bros. Interactive Entertainment,-1.0,$15.99,2011.0
Grand Theft Auto V,Action,XOne,Fall,2.81,2.19,5.48,Rockstar North,165,7.9,M,Take-Two Interactive,-1.0,$29.99,2014.0
Dr. Mario,Puzzle,GB,Summer,2.18,0.96,5.34,Frogdice,172,,,Nintendo,-1.0,,1989.0
Final Fantasy IX,Role-Playing,PS,Summer,1.62,0.77,5.3,SquareSoft,175,8.9,T,SquareSoft,-1.0,$8.39,2000.0
Assassin's Creed III,Action,X360,Fall,3.13,1.69,5.29,Ubisoft,176,6.7,M,Ubisoft,-1.0,$7.04,2012.0
