Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Batman: Arkham City,X360,4.73,1.27,2.99,Warner Bros. Interactive Entertainment,Fall,224,
Tony Hawk's Pro Skater 2,PS,4.68,1.41,3.05,Activision,Fall,227,
Tomb Raider,Wii,4.62,1.12,1.82,Nintendo,Spring,230,203160.0
Madden NFL 2005,PS2,4.53,0.26,4.18,Electronic Arts,Summer,238,
Pitfall!,2600,4.5,0.24,4.21,Activision,Fall,240,
Madden NFL 07,PS2,4.49,0.24,3.63,Electronic Arts,Summer,241,
Halo 5: Guardians,XOne,4.48,1.27,2.78,Microsoft Game Studios,Fall,242,
Call of Duty: Infinite Warfare,PS4,4.46,2.0,1.61,Activision,Fall,245,
Call of Duty: Infinite Warfare,PS2,4.45,1.29,2.71,Sony Computer Entertainment,Fall,246,292730.0
God of War,WiiU,4.43,1.18,1.54,Nintendo,Winter,247,1593500.0
Tony Hawk's Pro Skater 3,PS2,4.41,1.29,2.66,Activision,Fall,249,
The Elder Scrolls IV: Oblivion,X360,4.38,1.03,2.82,Take-Two Interactive,Spring,251,
Michael Jackson: The Experience,Wii,4.36,1.33,2.64,Ubisoft,Fall,254,
The Legend of Zelda: Ocarina of Time,3DS,4.33,1.31,2.09,Nintendo,Fall,259,
Batman: Arkham Asylum,PS3,4.23,1.31,2.24,Eidos Interactive,Summer,267,
Metal Gear Solid 3: Snake Eater,PS2,4.23,0.0,1.46,Konami Digital Entertainment,Fall,268,
Assassin's Creed: Revelations,PS3,4.22,2.01,1.41,Ubisoft,Fall,269,
Fallout 4,XOne,4.22,1.32,2.51,Bethesda Softworks,Fall,270,
FIFA 14,X360,4.22,2.89,0.92,Electronic Arts,Fall,271,377160.0
Assassin's Creed: Revelations,X360,4.19,1.47,2.25,Ubisoft,Fall,277,
Half-Life,SNES,4.12,0.61,1.65,Nintendo,Fall,285,70.0
FIFA Soccer 07,PS2,4.11,2.48,0.71,Electronic Arts,Fall,286,
Street Fighter II Turbo,SNES,4.1,0.51,1.42,Capcom,Winter,287,
Battlefield 1,PS4,4.08,2.15,1.1,Electronic Arts,Fall,289,
Battlefield 1,PS2,4.07,0.04,2.32,Sony Computer Entertainment,Fall,290,1238840.0
World Soccer Winning Eleven 9,PS2,4.06,2.26,0.12,Konami Digital Entertainment,Summer,291,
Fallout: New Vegas,X360,4.05,1.27,2.35,Microsoft Game Studios,Fall,293,22380.0
Far Cry 4,PS4,4.04,2.18,1.13,Ubisoft,Fall,298,
Far Cry 4,N64,4.03,0.58,2.78,Nintendo,Fall,299,298110.0
Left 4 Dead 2,X360,3.97,0.87,2.67,Electronic Arts,Fall,302,
Left 4 Dead 2,PS4,3.97,2.13,1.02,Namco Bandai Games,Fall,303,550.0
The Witcher 3: Wild Hunt,PS4,3.96,2.07,1.19,Ubisoft,Spring,304,292030.0
Batman: Arkham Knight,Wii,3.95,1.16,2.03,Nintendo,Summer,306,208650.0
The Elder Scrolls V: Skyrim,PC,3.88,2.12,1.16,Bethesda Softworks,Fall,313,
The Elder Scrolls V: Skyrim,PS4,3.88,0.66,2.49,Take-Two Interactive,Fall,314,72850.0
Dragon Warrior III,NES,3.87,0.0,0.1,Enix Corporation,Winter,316,
World Soccer Winning Eleven 8 International,PS2,3.85,1.89,0.16,Konami Digital Entertainment,Summer,319,
Call of Duty: Ghosts,DS,3.83,1.56,0.86,Nintendo,Spring,324,209160.0
Resident Evil 3: Nemesis,PS,3.72,0.77,1.3,Eidos Interactive,Fall,334,
Assassin's Creed IV: Black Flag,PS3,3.71,1.68,1.33,Ubisoft,Fall,337,
FIFA Soccer 2005,PS2,3.7,2.48,0.58,Electronic Arts,Fall,338,
Tony Hawk's Pro Skater 4,PS2,3.67,1.18,2.13,Activision,Fall,341,
Resident Evil 4,PS2,3.62,0.83,2.08,Capcom,Winter,350,
Resident Evil 4,Wii,3.62,0.96,2.32,Activision,Spring,351,2050650.0
Doom II: Hell on Earth,PC,3.61,1.4,2.05,Virgin Interactive,Fall,354,
Battlefield 4,PS4,3.59,1.55,1.35,Electronic Arts,Fall,357,
Battlefield 4,PS2,3.59,1.02,2.18,LucasArts,Fall,358,1238860.0
Grand Theft Auto: Liberty City Stories,PS2,3.54,1.4,1.56,Take-Two Interactive,Fall,363,
LEGO Star Wars: The Video Game,PS2,3.53,1.14,1.98,Eidos Interactive,Spring,367,
Left 4 Dead,X360,3.51,0.49,2.66,Electronic Arts,Fall,371,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,3.51,0.5,1.17,Nintendo,Fall,372,500.0
Resident Evil 5,X360,3.5,0.93,2.11,Capcom,Spring,375,
Assassin's Creed: Brotherhood,X360,3.49,0.38,2.85,Ubisoft,Fall,376,21690.0
Battlefield 4,PS3,3.49,1.42,1.3,Electronic Arts,Fall,378,
Batman: Arkham Asylum,X360,3.48,0.95,2.2,Eidos Interactive,Summer,379,1238860.0
Battlefield 4,X360,3.48,1.01,2.15,Electronic Arts,Fall,380,
Battlefield 4,X360,3.47,1.01,2.1,Electronic Arts,Fall,381,1238860.0
Battlefield: Bad Company 2,DS,3.46,1.62,1.21,Sega,Spring,382,24960.0
Final Fantasy III,SNES,3.42,0.0,0.86,SquareSoft,Spring,388,
Grand Theft Auto 2,PS,3.42,2.07,1.13,Take-Two Interactive,Fall,389,
Metal Gear Solid V: The Phantom Pain,PS4,3.41,1.36,1.09,Konami Digital Entertainment,Fall,390,
Metal Gear Solid V: The Phantom Pain,PS2,3.41,1.2,1.75,Activision,Fall,391,287700.0
FIFA Soccer 2003,PS2,3.4,2.28,0.46,Electronic Arts,Fall,393,
Assassin's Creed Syndicate,PS4,3.39,1.99,0.81,Ubisoft,Fall,396,
Assassin's Creed Syndicate,X360,3.38,1.02,2.04,Warner Bros. Interactive Entertainment,Fall,397,368500.0
Far Cry 3,PS3,3.35,1.7,0.88,Ubisoft,Fall,401,
Far Cry 3,PS,3.34,1.53,1.63,THQ,Fall,402,220240.0
Assassin's Creed IV: Black Flag,X360,3.3,1.11,1.9,Ubisoft,Fall,410,
True Crime: Streets of LA,PS2,3.27,1.05,1.89,Activision,Fall,414,
Madden NFL 16,PS4,3.24,0.3,2.34,Electronic Arts,Summer,420,
Halo: The Master Chief Collection,PS,3.21,1.33,1.72,Electronic Arts,Winter,423,976730.0
L.A. Noire,PS3,3.17,1.29,1.27,Take-Two Interactive,Spring,433,
L.A. Noire,PS2,3.17,0.56,2.06,Sony Computer Entertainment Europe,,434,110800.0
Dragon Warrior IV,NES,3.12,0.0,0.08,Enix Corporation,Winter,443,
Fallout: New Vegas,DS,3.11,1.0,0.9,Nintendo,Fall,446,22380.0
The Elder Scrolls IV: Oblivion,PS3,3.1,0.85,1.69,Ubisoft,Spring,447,
Resident Evil 6,PS3,3.1,0.94,0.88,Capcom,Fall,449,
Mass Effect 2,X360,3.1,0.81,1.99,Electronic Arts,Winter,450,221040.0
Madden NFL 2002,PS2,3.08,0.16,2.5,Electronic Arts,Summer,452,
Borderlands 2,X360,3.05,0.88,1.89,Take-Two Interactive,Fall,459,1222670.0
Borderlands 2,DS,3.05,1.01,1.75,Warner Bros. Interactive Entertainment,Fall,460,49520.0
Mass Effect 3,X360,3.04,0.84,1.94,Electronic Arts,Spring,462,
Heavy Rain,PS3,3.03,1.21,1.29,Sony Computer Entertainment,Winter,463,
Saints Row 2,XB,3.02,1.04,1.85,Ubisoft,Winter,466,9480.0
FIFA 14,PS4,3.01,1.85,0.61,Electronic Arts,Fall,469,
Far Cry 3,X360,3.0,1.32,1.38,Ubisoft,Fall,471,
Far Cry 3,Wii,3.0,0.63,2.04,Disney Interactive Studios,Fall,472,220240.0
Middle-Earth: Shadow of Mordor,PS4,2.96,1.43,1.01,Warner Bros. Interactive Entertainment,Fall,481,1286830.0
Sonic Heroes,PS2,2.96,1.37,1.04,Sega,Winter,482,241930.0
Battlefield: Bad Company 2,N64,2.94,0.58,1.98,Nintendo,Spring,486,24960.0
Call of Duty: Ghosts,X360,2.92,1.92,0.79,Electronic Arts,Spring,494,209160.0
Assassin's Creed IV: Black Flag,PS4,2.85,1.31,1.07,Ubisoft,Fall,509,
BioShock,X360,2.83,0.85,1.65,Take-Two Interactive,Summer,516,
Metroid Prime,GC,2.82,0.67,1.96,Nintendo,Fall,517,7670.0
Assassin's Creed: Brotherhood,PS3,2.82,0.55,1.87,Ubisoft,Fall,518,
Myst,PC,2.81,2.79,0.02,Red Orb,Fall,521,
Medal of Honor,PS3,2.81,1.46,0.71,Electronic Arts,Fall,523,47830.0
Need for Speed: Hot Pursuit,Wii,2.78,1.13,1.35,Activision,Fall,537,47870.0
Mortal Kombat X,PS4,2.78,0.8,1.5,Warner Bros. Interactive Entertainment,Spring,539,1238820.0
Mortal Kombat X,PS2,2.77,1.12,1.41,Electronic Arts,Spring,540,307780.0
Star Wars: The Force Unleashed,X360,2.77,0.77,1.74,LucasArts,Fall,542,
Saints Row: The Third,2600,2.76,0.17,2.56,Atari,Fall,546,55230.0
Onimusha: Warlords,PS2,2.7,0.48,0.99,Virgin Interactive,Winter,554,
L.A. Noire,X360,2.7,0.92,1.52,Take-Two Interactive,Spring,556,
L.A. Noire,X360,2.7,0.92,1.49,Activision,,557,110800.0
Medal of Honor,XB,2.66,0.58,1.99,Microsoft Game Studios,Fall,569,47830.0
Need for Speed: Shift,PS3,2.65,1.4,0.69,Electronic Arts,Fall,575,
Final Fantasy XIII-2,PS3,2.63,0.73,0.78,Square Enix,Winter,578,
Halo Wars,X360,2.62,0.8,1.54,Microsoft Game Studios,Winter,582,
Medal of Honor,PS2,2.61,1.22,0.9,Electronic Arts,Fall,587,47830.0
LEGO Star Wars: The Complete Saga,X360,2.57,0.81,1.53,LucasArts,Fall,595,
Madden NFL 08,PS2,2.57,0.08,2.14,Electronic Arts,Summer,597,
Sonic Adventure 2 Battle,GC,2.56,0.59,1.7,Sega,Summer,601,
Dragon Warrior II,NES,2.56,0.0,0.15,Enix Corporation,Winter,602,
Dragon Age: Origins,X360,2.56,0.55,1.76,Electronic Arts,Fall,605,
Marvel: Ultimate Alliance,X360,2.5,0.02,2.29,Activision,Fall,619,
Saints Row: The Third,PS3,2.46,0.84,1.15,Sony Computer Entertainment,Fall,630,55230.0
Final Fantasy V,SNES,2.45,0.0,0.0,SquareSoft,Winter,632,
Riven: The Sequel to Myst,PC,2.43,0.82,1.52,Red Orb,Fall,637,
