Name,Platform,Global_Sales_Millions,EU_Sales_Millions,NA_Sales_Millions,Publisher,Release_Season,Original_Index,Steam_App_ID
Sonic Generations,PS3,1.58,0.69,0.6,Sega,Fall,1172,
Devil May Cry 4,PS3,1.57,0.45,0.58,Capcom,Winter,1175,
Pro Evolution Soccer 2010,PS2,1.57,0.18,0.1,Konami Digital Entertainment,Fall,1177,
Conflict: Desert Storm,PS2,1.57,0.53,0.98,Gotham Games,Fall,1184,
LEGO Harry Potter: Years 1-4,X360,1.55,0.46,0.95,Warner Bros. Interactive Entertainment,Summer,1203,
Wolfenstein: The New Order,PS4,1.55,0.8,0.47,Bethesda Softworks,Spring,1208,
Wolfenstein: The New Order,X360,1.55,0.55,0.85,Take-Two Interactive,Spring,1209,201810.0
BioShock 2,PS3,1.54,0.46,0.85,Take-Two Interactive,Winter,1211,
BioShock 2,PS2,1.54,0.44,0.83,Sony Computer Entertainment,Winter,1212,8850.0
Pro Evolution Soccer 2013,PS3,1.53,0.63,0.18,Konami Digital Entertainment,Fall,1221,
Mortal Kombat 3,SNES,1.53,0.29,1.19,Acclaim Entertainment,Spring,1222,
Dishonored,PS3,1.53,0.52,0.72,Bethesda Softworks,Fall,1224,
Dishonored,GC,1.53,0.15,1.09,Nintendo,Fall,1225,205100.0
Resident Evil: The Umbrella Chronicles,Wii,1.52,0.43,0.67,Capcom,Fall,1228,202970.0
Pac-Man World 2,PS2,1.51,0.05,1.26,Namco Bandai Games,Winter,1240,
Dead Space 2,3DS,1.51,0.0,0.0,GungHo,Winter,1244,47780.0
Mega Man 2,NES,1.51,0.15,0.93,Capcom,Winter,1246,
NBA Live 98,PS,1.51,0.06,1.41,Electronic Arts,Fall,1248,
The Simpsons Game,PS2,1.51,0.03,0.35,Electronic Arts,Fall,1249,
The Simpsons Game,DS,1.51,0.77,0.56,Electronic Arts,Fall,1251,
SoulCalibur II,GC,1.5,0.32,0.99,Namco Bandai Games,Summer,1254,
Ice Climber,NES,1.5,0.1,0.46,Nintendo,Winter,1262,
Sonic CD,SCD,1.5,0.36,1.0,Sega,Fall,1263,
Medal of Honor: Frontline,XB,1.49,0.43,1.0,Electronic Arts,Spring,1268,
Batman: Arkham Knight,PS4,1.49,0.69,0.54,Bethesda Softworks,Summer,1275,208650.0
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,1.48,0.59,0.82,Ubisoft,Spring,1289,
Mortal Kombat 4,PS,1.46,0.55,0.81,GT Interactive,Fall,1306,
Homefront,PS2,1.45,0.47,0.37,Capcom,Spring,1313,55100.0
Mass Effect 2,PS3,1.45,0.45,0.78,Electronic Arts,Winter,1322,
Sonic & Sega All-Stars Racing,Wii,1.44,0.68,0.61,Sega,Winter,1329,
My Word Coach,DS,1.44,0.89,0.37,Ubisoft,Fall,1331,
Disney Princess: Magical Jewels,DS,1.43,0.19,1.12,Disney Interactive Studios,Fall,1341,
BioShock,PS3,1.42,0.46,0.75,Take-Two Interactive,Summer,1347,
Mass Effect 3,PS3,1.42,0.56,0.63,Electronic Arts,Spring,1348,7670.0
Dead Space 2,Wii,1.42,0.47,0.8,Electronic Arts,Winter,1357,47780.0
Metal Gear Rising: Revengeance,PS3,1.42,0.37,0.45,Konami Digital Entertainment,Winter,1358,
Metal Gear Rising: Revengeance,GC,1.42,0.38,0.63,Capcom,Winter,1359,235460.0
LEGO Star Wars: The Video Game,GC,1.41,0.28,1.09,Eidos Interactive,Spring,1363,
The Sims 3,Wii,1.41,0.69,0.57,Electronic Arts,Summer,1368,
The Sims 3,PS,1.41,0.34,1.02,Electronic Arts,Summer,1369,47890.0
Final Fantasy III,NES,1.4,0.0,0.0,SquareSoft,Spring,1383,
Tomb Raider (2013),PS4,1.4,0.65,0.47,Square Enix,Spring,1384,
Madden NFL 2002,PS,1.39,0.53,0.78,Electronic Arts,Summer,1387,
Injustice: Gods Among Us,X360,1.38,0.3,0.97,Warner Bros. Interactive Entertainment,Spring,1393,
Far Cry 2,3DS,1.38,0.53,0.48,Nintendo,Fall,1395,19900.0
LEGO Batman 2: DC Super Heroes,Wii,1.38,0.37,0.9,Warner Bros. Interactive Entertainment,Summer,1396,
True Crime: Streets of LA,XB,1.38,0.37,0.96,Activision,Fall,1397,
Bravely Default: Flying Fairy,3DS,1.38,0.32,0.5,Nintendo,Fall,1399,
Mortal Kombat X,XOne,1.38,0.21,1.03,Warner Bros. Interactive Entertainment,Spring,1401,302510.0
Mortal Kombat X,N64,1.38,0.18,0.58,Nintendo,Spring,1402,307780.0
Rise of the Tomb Raider,XOne,1.38,0.7,0.55,Square Enix,Fall,1403,
Rise of the Tomb Raider,PS,1.38,0.54,0.77,Take-Two Interactive,Winter,1404,391220.0
Sonic Generations,X360,1.38,0.53,0.71,Sega,Fall,1405,
Deus Ex: Human Revolution,X360,1.37,0.47,0.76,Square Enix,Summer,1409,
Call of Duty: Black Ops,Wii,1.37,0.45,0.8,Activision,Fall,1412,
Deus Ex: Human Revolution,PS3,1.37,0.59,0.5,Square Enix,Summer,1413,42700.0
Star Wars Knights of the Old Republic II: The Sith Lords,XB,1.37,0.33,0.99,Activision,Winter,1414,
The Sims 2,PSP,1.37,0.55,0.49,Electronic Arts,Fall,1416,
Dragon Quest III: Soshite Densetsu e...,SNES,1.36,0.0,0.0,Enix Corporation,Winter,1425,
Middle-Earth: Shadow of Mordor,XOne,1.35,0.5,0.73,Warner Bros. Interactive Entertainment,Fall,1434,
Middle-Earth: Shadow of Mordor,PS3,1.35,0.65,0.43,Sony Computer Entertainment,Fall,1435,241930.0
Battlefield 4,PC,1.35,0.87,0.39,Electronic Arts,Fall,1437,
Battlefield 4,XB,1.35,0.58,0.7,Vivendi Games,Fall,1438,1238860.0
Devil May Cry 4,X360,1.34,0.34,0.79,Capcom,Winter,1447,
Chrono Trigger,DS,1.34,0.16,0.61,Square Enix,Spring,1451,
Mortal Kombat 3,GEN,1.34,0.27,1.03,Acclaim Entertainment,Spring,1453,
Need for Speed Carbon,PS2,1.34,0.05,1.22,Electronic Arts,Fall,1459,
Max Payne 2: The Fall of Max Payne,PS2,1.34,0.51,0.65,Take-Two Interactive,Fall,1463,
Alan Wake,X360,1.33,0.5,0.66,Microsoft Game Studios,Spring,1468,
Alan Wake,GBA,1.33,0.35,0.92,Activision,Winter,1469,108710.0
Tony Hawk's Pro Skater,GB,1.33,0.38,0.9,Activision,Fall,1471,
Metroid Prime 2: Echoes,GC,1.33,0.35,0.87,Nintendo,Fall,1474,
The Elder Scrolls V: Skyrim,PS4,1.33,0.59,0.48,Bethesda Softworks,Fall,1475,
The Elder Scrolls V: Skyrim,PS2,1.33,0.51,0.65,TDK Mediactive,Fall,1476,72850.0
Grand Theft Auto: Chinatown Wars,DS,1.32,0.56,0.58,Take-Two Interactive,Spring,1479,
LEGO Harry Potter: Years 1-4,PS3,1.31,0.55,0.55,Warner Bros. Interactive Entertainment,Summer,1497,
The Witcher 3: Wild Hunt,PS,1.31,0.67,0.57,THQ,Spring,1500,292030.0
Pitfall II: Lost Caverns,2600,1.31,0.07,1.22,Activision,Winter,1501,
Turok: Evolution,PS2,1.31,0.5,0.64,Acclaim Entertainment,Fall,1502,
The Beatles: Rock Band,X360,1.3,0.23,0.97,MTV Games,Fall,1505,
Assassin's Creed Syndicate,XOne,1.3,0.56,0.62,Ubisoft,Fall,1515,
Assassin's Creed Syndicate,PS,1.3,0.38,0.56,Namco Bandai Games,Fall,1516,368500.0
Far Cry 4,PS3,1.29,0.68,0.34,Ubisoft,Fall,1517,
Far Cry 4,DS,1.29,0.16,0.5,Nintendo,Fall,1518,298110.0
Resident Evil Zero,GC,1.29,0.27,0.54,Capcom,Fall,1521,
Dying Light,XOne,1.29,0.3,0.86,Warner Bros. Interactive Entertainment,Winter,1529,
Fallout 4,PC,1.29,0.67,0.51,Bethesda Softworks,Fall,1530,239140.0
Fallout 4,DS,1.29,0.47,0.69,Sega,Fall,1531,377160.0
Assassin's Creed: Rogue,PS3,1.29,0.56,0.46,Ubisoft,Fall,1532,
The Elder Scrolls Online,PS2,1.28,0.49,0.63,Sony Online Entertainment,Spring,1537,306130.0
Need for Speed Carbon,Wii,1.28,0.66,0.45,Electronic Arts,Fall,1544,
Silent Hill 2,PS2,1.28,0.49,0.62,Konami Digital Entertainment,Fall,1545,
Castlevania: Symphony of the Night,PS,1.27,0.4,0.58,Konami Digital Entertainment,Spring,1546,
Dark Souls II,PS3,1.27,0.33,0.4,Namco Bandai Games,Spring,1550,
Metal Gear Solid V: Ground Zeroes,PS4,1.27,0.47,0.45,Konami Digital Entertainment,Spring,1559,
Metal Gear Solid V: Ground Zeroes,DS,1.27,0.39,0.75,Nintendo,Winter,1560,311340.0
Sonic Adventure DX: Director's Cut,GC,1.27,0.3,0.87,Sega,Winter,1565,
Battle Arena Toshinden,PS,1.27,0.26,0.39,Sony Computer Entertainment,Winter,1567,
Need for Speed Rivals,PS3,1.27,0.69,0.33,Electronic Arts,Fall,1570,
Saints Row IV,PS3,1.25,0.41,0.56,Deep Silver,Summer,1583,
Star Wars: The Force Unleashed,PS2,1.25,0.0,0.49,LucasArts,Fall,1584,
Tom Clancy's Rainbow Six: Vegas,PS3,1.25,0.53,0.47,Ubisoft,Fall,1594,
Lara Croft Tomb Raider: The Angel of Darkness,PS2,1.25,0.48,0.61,Eidos Interactive,Summer,1599,
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,1.25,0.56,0.52,Ubisoft,Spring,1600,
Baldur's Gate: Dark Alliance,PS2,1.24,0.48,0.61,Virgin Interactive,Winter,1604,
Oddworld: Abe's Oddysee,PS,1.24,0.44,0.75,GT Interactive,Fall,1605,
Oddworld: Abe's Oddysee,PS2,1.24,0.19,0.24,Namco Bandai Games,Winter,1606,15700.0
LEGO Harry Potter: Years 5-7,Wii,1.24,0.42,0.69,Warner Bros. Interactive Entertainment,Fall,1609,
Madden NFL 17,XOne,1.23,0.02,1.08,Electronic Arts,Summer,1615,
Driv3r,PS2,1.23,0.47,0.6,Atari,Summer,1619,
Donkey Kong Country 2,GBA,1.23,0.27,0.79,Nintendo,Fall,1629,
Need for Speed Carbon,PS3,1.23,0.5,0.49,Electronic Arts,Fall,1632,
SimCity 2000,PS,1.22,0.46,0.68,Maxis,Winter,1646,
Final Fantasy IV,DS,1.21,0.04,0.51,Square Enix,Summer,1654,
Dragon Quest IV: Michibikareshi Monotachi,PS,1.21,0.0,0.0,Enix Corporation,Winter,1662,
Need for Speed Underground,GC,1.21,0.48,0.69,Electronic Arts,Fall,1663,
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,1.21,0.46,0.42,Namco Bandai Games,Fall,1664,
Medal of Honor: Airborne,PS3,1.21,0.69,0.25,Electronic Arts,Summer,1665,
Test Drive 4,PS,1.21,0.46,0.67,Electronic Arts,Fall,1669,460790.0
The Sims 2: Castaway,Wii,1.2,0.63,0.44,Electronic Arts,Fall,1673,
FIFA Soccer 07,PSP,1.2,0.64,0.25,Electronic Arts,Fall,1674,
TwinBee,NES,1.2,0.0,0.0,Konami Digital Entertainment,Winter,1681,
Ganbare Goemon! Karakuri Douchuu,NES,1.2,0.0,0.0,Konami Digital Entertainment,Summer,1682,
NHL 2002,PS2,1.2,0.46,0.59,Electronic Arts,Fall,1686,
LEGO Batman 2: DC Super Heroes,PS3,1.19,0.5,0.5,Warner Bros. Interactive Entertainment,Summer,1690,
Final Fantasy I & II: Dawn of Souls,GBA,1.19,0.24,0.64,Nintendo,Winter,1703,
Injustice: Gods Among Us,PS3,1.18,0.5,0.48,Warner Bros. Interactive Entertainment,Spring,1710,
Tony Hawk's Pro Skater 2,GBA,1.18,0.31,0.85,Activision,Fall,1715,
Mega Man 3,NES,1.17,0.1,0.68,Capcom,Fall,1722,
Cabela's Dangerous Hunts,PS2,1.17,0.45,0.57,Zoo Digital Publishing,Fall,1729,
Grand Theft Auto V,PC,1.17,0.69,0.39,Take-Two Interactive,Fall,1730,
Fallout: New Vegas,PS,1.17,0.44,0.65,989 Studios,Fall,1732,22380.0
Spore,PS,1.17,0.44,0.65,Psygnosis,Winter,1738,17390.0
Mirror's Edge,PS3,1.16,0.06,0.41,Sega,Winter,1745,17410.0
Sega Rally Championship,SAT,1.16,0.16,0.21,Sega,Winter,1748,
FIFA 14,XOne,1.16,0.66,0.41,Electronic Arts,Fall,1753,
Final Fantasy Tactics: The War of the Lions,PSP,1.16,0.24,0.45,Square Enix,Spring,1754,
LEGO Star Wars: The Video Game,XB,1.16,0.28,0.83,Eidos Interactive,Spring,1755,
Call of Duty 4: Modern Warfare,PC,1.15,1.12,0.0,Activision,Fall,1772,
Tenchu: Wrath of Heaven,PS2,1.14,0.34,0.44,Activision,Spring,1779,
Ninja Gaiden Sigma,PS3,1.14,0.32,0.57,Eidos Interactive,Spring,1782,
Resident Evil - Code: Veronica,DC,1.14,0.23,0.41,Eidos Interactive,Winter,1787,
LEGO Star Wars: The Video Game,GBA,1.14,0.3,0.82,Eidos Interactive,Spring,1793,
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,1.14,0.45,0.41,Namco Bandai Games,Winter,1801,
Naruto Shippuden: Ultimate Ninja Storm 4,XB,1.13,0.1,1.01,Microsoft Game Studios,Winter,1802,349040.0
Mirror's Edge,X360,1.13,0.37,0.65,Activision,Winter,1811,17410.0
Alien: Isolation,PS4,1.13,0.57,0.34,Sega,Fall,1812,
Alien: Isolation,PS,1.13,0.43,0.63,Sony Computer Entertainment,Fall,1813,214490.0
Persona 4: Golden,PSV,1.12,0.23,0.36,Atlus,Summer,1831,
The Beatles: Rock Band,PS3,1.12,0.29,0.67,MTV Games,Fall,1834,
Counter-Strike,PS2,1.11,0.37,0.63,Activision,Fall,1837,10.0
Tom Clancy's Splinter Cell: Chaos Theory,XB,1.11,0.38,0.68,Ubisoft,Spring,1841,
Lumines: Puzzle Fusion,PSP,1.11,0.35,0.52,Ubisoft,Winter,1849,
Castlevania: Lords of Shadow,PS3,1.1,0.35,0.5,Konami Digital Entertainment,Fall,1852,
Need for Speed: ProStreet,Wii,1.1,0.45,0.53,Electronic Arts,Fall,1867,
Medal of Honor: Airborne,X360,1.1,0.52,0.45,Electronic Arts,Summer,1869,
Petz Dogz 2,DS,1.1,0.51,0.46,Ubisoft,Winter,1871,
NCAA Football 14,X360,1.09,0.0,1.01,Electronic Arts,Summer,1872,
Madden NFL 2004,XB,1.09,0.02,1.02,Electronic Arts,Summer,1881,
NCAA Football 13,X360,1.09,0.0,1.02,Electronic Arts,Summer,1889,
NFL Blitz 2000,PS,1.09,0.41,0.6,Midway Games,Winter,1891,
Empire: Total War,PC,1.08,0.97,0.01,Sega,Spring,1897,
Virtua Fighter 5,PS3,1.08,0.51,0.29,Sega,Summer,1898,
Star Wars: The Force Unleashed,PSP,1.08,0.4,0.43,LucasArts,Fall,1907,
Plants vs. Zombies: Garden Warfare,X360,1.08,0.47,0.51,Electronic Arts,Winter,1911,
The Simpsons Game,PSP,1.07,0.54,0.24,Electronic Arts,Fall,1912,
Naruto: Ultimate Ninja Storm,PS3,1.07,0.34,0.49,Namco Bandai Games,Fall,1932,
Freekstyle,PS2,1.06,0.41,0.52,Electronic Arts,Summer,1938,
Grand Theft Auto: Chinatown Wars,PSP,1.06,0.49,0.28,Take-Two Interactive,Spring,1939,
Spore Creatures,DS,1.06,0.3,0.66,Electronic Arts,Fall,1940,
The Orange Box,PS3,1.06,0.58,0.28,Electronic Arts,Fall,1941,
Bully: Scholarship Edition,X360,1.06,0.4,0.53,Take-Two Interactive,Fall,1944,
Bully: Scholarship Edition,PS2,1.06,0.41,0.52,Electronic Arts,Fall,1945,12200.0
Seek and Destroy,PS2,1.06,0.4,0.52,Play It,Summer,1956,
Darksiders,X360,1.06,0.3,0.65,Electronic Arts,Fall,1958,50620.0
LEGO Marvel Super Heroes,PS3,1.06,0.39,0.49,Sony Computer Entertainment,Fall,1960,249130.0
Call of Duty 4: Modern Warfare,DS,1.05,0.01,0.95,Activision,Fall,1964,
Cosmic Ark,2600,1.05,0.05,0.99,Imagic,Winter,1965,
Resident Evil: The Darkside Chronicles,Wii,1.05,0.31,0.46,Capcom,Fall,1966,
Monster Rancher 2,PS,1.05,0.13,0.19,Sony Computer Entertainment,Winter,1981,
Sleeping Dogs,PS,1.04,0.39,0.58,Acclaim Entertainment,,1988,202170.0
Mega Man X4,PS,1.04,0.3,0.45,Virgin Interactive,Summer,1989,
Sonic & Sega All-Stars Racing,DS,1.04,0.5,0.43,Sega,Winter,1997,
The Simpsons Game,X360,1.03,0.39,0.54,Electronic Arts,Fall,1999,
Brink,PS2,1.03,0.03,0.86,THQ,Spring,2002,22350.0
Street Fighter Alpha 3,PS,1.03,0.12,0.38,Virgin Interactive,Summer,2015,203160.0
Sonic Unleashed,PS3,1.02,0.32,0.56,Sega,Fall,2026,
Petz: Catz 2,DS,1.02,0.4,0.51,Ubisoft,Winter,2032,
Bulletstorm,X360,1.02,0.32,0.61,Electronic Arts,Winter,2033,
Madden NFL 07,XB,1.02,0.03,0.97,Electronic Arts,Summer,2035,
Sonic Generations,3DS,1.02,0.47,0.44,Sega,Fall,2036,
The Simpsons Game,Wii,1.01,0.46,0.45,Electronic Arts,Fall,2045,
Assassin's Creed: Rogue,X360,1.01,0.34,0.58,Ubisoft,Fall,2050,
SoulCalibur II,XB,1.0,0.18,0.78,Namco Bandai Games,Summer,2067,
Rayman Origins,PS3,1.0,0.49,0.33,Ubisoft,Fall,2074,
Oddworld: Abe's Exoddus,PS,0.99,0.38,0.55,GT Interactive,Fall,2083,
Air-Sea Battle,2600,0.98,0.06,0.91,Atari,Winter,2106,
Madden NFL 16,X360,0.97,0.02,0.85,Electronic Arts,Summer,2114,
Grand Theft Auto: San Andreas,PC,0.97,0.93,0.0,Take-Two Interactive,Fall,2115,
Madden NFL 08,PS3,0.97,0.0,0.89,Electronic Arts,Summer,2116,12120.0
Brutal Legend,PS3,0.97,0.32,0.49,Disney Interactive Studios,Winter,2119,225260.0
FIFA Soccer 2005,XB,0.97,0.6,0.33,Electronic Arts,Fall,2125,
Mass Effect 3,PC,0.97,0.44,0.4,Electronic Arts,Spring,2126,
Romancing SaGa,SNES,0.97,0.0,0.0,SquareSoft,Winter,2129,
LEGO Harry Potter: Years 5-7,X360,0.97,0.37,0.51,Warner Bros. Interactive Entertainment,Fall,2132,
Far Cry 3,PC,0.96,0.62,0.22,Ubisoft,Fall,2136,
Far Cry 3,PS4,0.96,0.41,0.36,Take-Two Interactive,Fall,2137,220240.0
Dragon Quest X,Wii,0.96,0.0,0.0,Square Enix,Summer,2139,
The Witcher 2: Assassins of Kings,PC,0.96,0.56,0.25,Namco Bandai Games,Spring,2151,
Sniper Elite V2,XB,0.95,0.04,0.88,Global Star,,2153,63380.0
Tom Clancy's Splinter Cell: Chaos Theory,PS2,0.95,0.45,0.36,Ubisoft,Spring,2160,
Sonic Unleashed,X360,0.95,0.32,0.54,Sega,Fall,2161,
Sonic & Sega All-Stars Racing,PS3,0.95,0.43,0.36,Sega,Winter,2178,
Brutal Legend,Wii,0.94,0.17,0.69,Activision,Winter,2201,225260.0
Rise of the Tomb Raider,PS4,0.94,0.53,0.23,Square Enix,Fall,2204,
Rise of the Tomb Raider,XB,0.94,0.33,0.57,Ubisoft,Winter,2205,391220.0
NHL 2003,PS2,0.93,0.36,0.46,Electronic Arts,Fall,2208,
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,0.93,0.32,0.32,Namco Bandai Games,Spring,2209,
The Sims 2,DS,0.93,0.05,0.81,Electronic Arts,Fall,2211,
Tony Hawk's Pro Skater 4,XB,0.93,0.3,0.59,Activision,Fall,2213,
Mega Man 4,NES,0.93,0.09,0.51,Capcom,Winter,2222,
Bayonetta,PS2,0.93,0.03,0.77,Sony Computer Entertainment,Spring,2226,460790.0
Kingdom Hearts Re:coded,DS,0.93,0.09,0.53,Square Enix,Fall,2229,
Lego Batman 3: Beyond Gotham,PS4,0.93,0.4,0.37,Warner Bros. Interactive Entertainment,Fall,2232,
Assassin's Creed III,PC,0.93,0.53,0.28,Ubisoft,Fall,2237,
Borderlands 2,PC,0.93,0.41,0.42,Take-Two Interactive,Fall,2238,
Borderlands 2,PS2,0.92,0.35,0.45,Konami Digital Entertainment,Fall,2239,49520.0
NCAA Football 11,X360,0.92,0.0,0.86,Electronic Arts,Summer,2242,
South Park: The Stick of Truth,PS3,0.92,0.34,0.43,Ubisoft,Spring,2248,
South Park: The Stick of Truth,X360,0.92,0.26,0.58,Ubisoft,Spring,2249,213670.0
South Park: The Stick of Truth,PS,0.92,0.35,0.51,Electronic Arts,Spring,2250,213670.0
Sonic Riders,GC,0.92,0.18,0.71,Sega,Winter,2259,
Injustice: Gods Among Us,PS4,0.91,0.3,0.46,Warner Bros. Interactive Entertainment,Spring,2271,
LEGO Harry Potter: Years 5-7,PS3,0.91,0.41,0.36,Warner Bros. Interactive Entertainment,Fall,2273,
Dynasty Warriors 7,PS3,0.91,0.13,0.25,Tecmo Koei,Spring,2279,
Just Cause 3,XOne,0.9,0.39,0.44,Square Enix,Winter,2291,310950.0
Just Cause 3,SNES,0.9,0.0,0.0,ASCII Entertainment,Fall,2292,225540.0
Marvel: Ultimate Alliance 2,X360,0.9,0.15,0.68,Activision,Fall,2294,
Far Cry 4,X360,0.9,0.37,0.45,Ubisoft,Fall,2297,
The Witcher 2: Assassins of Kings,X360,0.9,0.32,0.48,Namco Bandai Games,Spring,2298,298110.0
Destruction Derby,PS,0.9,0.34,0.5,Psygnosis,Fall,2300,55100.0
The Elder Scrolls Online,PS,0.9,0.34,0.5,989 Studios,Spring,2304,306130.0
Sonic Heroes,XB,0.9,0.43,0.41,Sega,Winter,2308,
LEGO Marvel Super Heroes,PS3,0.9,0.34,0.42,Activision,Fall,2314,249130.0
Lego Batman 3: Beyond Gotham,X360,0.89,0.33,0.48,Warner Bros. Interactive Entertainment,Fall,2335,
Call of Duty: World at War,PS3,0.89,0.25,0.52,Electronic Arts,Fall,2342,10090.0
CSI: Hard Evidence,Wii,0.89,0.43,0.36,Ubisoft,Fall,2343,
NCAA Football 13,PS3,0.89,0.0,0.82,Electronic Arts,Summer,2352,
Samba De Amigo,Wii,0.88,0.37,0.41,Sega,Winter,2353,
The Simpsons Game,PS3,0.88,0.36,0.38,Electronic Arts,Fall,2355,
Resident Evil: Revelations,3DS,0.88,0.22,0.3,Capcom,Winter,2368,
Star Wars: The Force Unleashed,DS,0.88,0.28,0.5,LucasArts,Fall,2370,
Madden NFL 08,Wii,0.87,0.0,0.8,Electronic Arts,Summer,2377,
Sleeping Dogs,X360,0.87,0.24,0.55,Electronic Arts,,2384,202170.0
Kingdoms of Amalur: Reckoning,PSP,0.87,0.26,0.32,Konami Digital Entertainment,,2385,102500.0
Need for Speed: V-Rally,PS,0.87,0.29,0.43,Infogrames,Summer,2386,
Michael Jackson: The Experience,X360,0.87,0.18,0.62,Ubisoft,Fall,2391,
Conflict: Desert Storm,XB,0.87,0.37,0.48,SCi,Fall,2401,
Ghostbusters: The Video Game,Wii,0.86,0.2,0.59,Atari,Summer,2413,
Dragon Quest VIII: Journey of the Cursed King,3DS,0.86,0.0,0.0,Square Enix,Fall,2414,
Tomb Raider: Anniversary,Wii,0.85,0.62,0.12,Eidos Interactive,Summer,2430,
Street Fighter Alpha 2,PS,0.85,0.09,0.14,Virgin Interactive,Spring,2432,
Kingdoms of Amalur: Reckoning,PS,0.85,0.32,0.47,GT Interactive,,2437,102500.0
The Legendary Starfy,DS,0.85,0.0,0.6,Nintendo,Fall,2447,
NCAA Football 11,PS3,0.85,0.0,0.79,Electronic Arts,Summer,2448,
Darksiders II,PS3,0.84,0.35,0.35,THQ,Summer,2451,
Ghostbusters: The Video Game,PS3,0.84,0.36,0.34,Sony Computer Entertainment,Summer,2455,
Big Mutha Truckers,PS2,0.84,0.32,0.41,Empire Interactive,Winter,2464,
The Evil Within,PS2,0.84,0.16,0.24,Sony Computer Entertainment,Fall,2466,268050.0
ESPN College Hoops 2K5,PS2,0.84,0.32,0.41,Sega,Fall,2467,
NCAA Football 14,PS3,0.84,0.0,0.75,Electronic Arts,Summer,2468,
Sniper Elite V2,GBA,0.84,0.22,0.6,Nintendo,,2471,63380.0
Q*bert,PS,0.84,0.32,0.46,Atari,Fall,2474,
Madden NFL 07,PSP,0.83,0.03,0.77,Unknown,Summer,2479,
Tony Hawk's Pro Skater 3,GC,0.82,0.17,0.64,Activision,Fall,2504,
Marvel: Ultimate Alliance,PS2,0.82,0.03,0.69,Activision,Fall,2505,
Shin Megami Tensei: Persona 4,PS2,0.82,0.04,0.34,Atlus,Summer,2519,
Dragon Warrior III,GB,0.81,0.0,0.0,Enix Corporation,Winter,2523,
Pro Evolution Soccer 2010,X360,0.81,0.58,0.12,Konami Digital Entertainment,Fall,2541,
Final Fantasy XI: Wings of the Goddess,PS2,0.81,0.27,0.35,Square Enix,Spring,2550,
The Sims 2,PS2,0.81,0.03,0.67,Electronic Arts,Fall,2551,
Pro Evolution Soccer 2010,PSP,0.8,0.33,0.09,Konami Digital Entertainment,Fall,2567,
Harvest Moon: A Wonderful Life,GC,0.79,0.16,0.61,Ubisoft,Fall,2584,
All Star Cheer Squad,Wii,0.79,0.29,0.43,THQ,Fall,2585,
DmC: Devil May Cry,PS3,0.79,0.26,0.24,Capcom,Winter,2587,
DmC: Devil May Cry,PS,0.79,0.3,0.44,Take-Two Interactive,Winter,2588,220440.0
Darksiders II,X360,0.79,0.27,0.45,THQ,Summer,2590,
Need for Speed Rivals,X360,0.79,0.35,0.37,Electronic Arts,Fall,2591,
Mega Man 5,NES,0.79,0.07,0.39,Capcom,Winter,2593,
Dragon's Dogma,X360,0.79,0.23,0.42,Capcom,Spring,2599,
Rare Replay,XOne,0.79,0.22,0.49,Microsoft Game Studios,Summer,2603,
The Sims 2: Castaway,PSP,0.79,0.46,0.08,Electronic Arts,Fall,2607,
The 7th Guest,PC,0.78,0.77,0.02,Virgin Interactive,Spring,2612,
Yars' Revenge,2600,0.78,0.04,0.73,Atari,Spring,2615,
Tom Clancy's Splinter Cell: Double Agent,X360,0.78,0.04,0.67,Ubisoft,Fall,2619,379720.0
Naruto Shippuden: Ultimate Ninja Storm 2,X360,0.78,0.27,0.43,Namco Bandai Games,Fall,2621,
Marvel vs. Capcom: Clash of Super Heroes,PS,0.78,0.3,0.43,Capcom,Winter,2624,
Madden NFL 16,PS3,0.78,0.06,0.57,Electronic Arts,Summer,2626,
The World Ends With You,DS,0.78,0.04,0.49,Square Enix,Summer,2629,
Rayman Origins,X360,0.78,0.32,0.38,Ubisoft,Fall,2639,
Aliens: Colonial Marines,X360,0.77,0.34,0.36,Sega,Winter,2641,
Need for Speed: ProStreet,PSP,0.77,0.33,0.24,Electronic Arts,Fall,2647,
Marvel Nemesis: Rise of the Imperfects,PS2,0.77,0.02,0.64,Electronic Arts,Fall,2649,
Donkey Kong Country 3,GBA,0.77,0.17,0.45,Nintendo,Fall,2665,
Sonic Unleashed,PS2,0.76,0.04,0.37,Sega,Fall,2672,
Cabela's Deer Hunt: 2004 Season,PS2,0.76,0.29,0.37,Activision Value,Summer,2673,
Driv3r,XB,0.76,0.38,0.36,Atari,Summer,2679,
Street Fighter Alpha: Warriors' Dreams,PS,0.76,0.11,0.17,Virgin Interactive,Summer,2683,
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,0.76,0.32,0.37,Sega,Winter,2689,
Tony Hawk's Pro Skater 2,N64,0.76,0.16,0.59,Activision,Fall,2690,
The Sims 3,3DS,0.76,0.37,0.3,Electronic Arts,Summer,2697,
The Sims 3,XB,0.76,0.12,0.61,Midway Games,Summer,2698,47890.0
