Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,Original_Index,Release_Season
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,5.02,69.0,Neversoft Entertainment,205,Fall
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,4.91,121.0,EA Sports,213,Summer
Dr. Mario,NES,1990.0,Puzzle,Nintendo,2.62,0.6,4.85,,,217,Summer
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.83,1.48,4.76,46.0,TT Fusion,222,Fall
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,4.73,1472.0,Rocksteady Studios,224,Fall
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,4.68,299.0,Neversoft Entertainment,227,Fall
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,4.53,78.0,EA Tiburon,238,Summer
Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,4.5,,,240,Fall
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,4.49,39.0,EA Sports,241,Summer
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,4.48,2438.0,343 Industries,242,Fall
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,1.61,2.0,4.46,1129.0,Infinity Ward,245,Fall
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,4.41,298.0,Neversoft Entertainment,249,Fall
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.03,4.38,1109.0,Bethesda Softworks,251,Spring
