Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
Metal Gear Solid V: The Phantom Pain,287700.0,391,2015-09-01,Fall,PS2,Action,Activision,1.75,1.2,3.41,106.0,Treyarch,19.99,91,65936
Assassin's Creed Syndicate,368500.0,397,2015-11-18,Fall,X360,Action,Warner Bros. Interactive Entertainment,2.04,1.02,3.38,75.0,Traveller's Tales,29.99,74,27331
Far Cry 3,220240.0,402,2012-11-28,Fall,PS,Adventure,THQ,1.63,1.53,3.34,,,19.99,88,101450
Halo: The Master Chief Collection,976730.0,423,2019-12-03,Winter,PS,Shooter,Electronic Arts,1.72,1.33,3.21,,,39.99,,217750
L.A. Noire,110800.0,434,,,PS2,Simulation,Sony Computer Entertainment Europe,2.06,0.56,3.17,95.0,Namco,9.99,83,28108
Fallout: New Vegas,22380.0,446,2010-10-21,Fall,DS,Misc,Nintendo,0.9,1.0,3.11,10.0,Indies Zero,9.99,84,179967
Resident Evil 6,221040.0,450,2013-03-22,Spring,X360,Role-Playing,Electronic Arts,1.99,0.81,3.1,3143.0,BioWare,4.99,69,38461
The Sims 4,1222670.0,459,2014-09-02,Fall,X360,Shooter,Take-Two Interactive,1.89,0.88,3.05,892.0,Gearbox Software,,,80132
Borderlands 2,49520.0,460,2012-09-20,Fall,DS,Action,Warner Bros. Interactive Entertainment,1.75,1.01,3.05,16.0,TT Fusion,19.99,89,199707
Saints Row 2,9480.0,466,2009-01-28,Winter,XB,Action,Ubisoft,1.85,1.04,3.02,121.0,Ubisoft Montreal,9.99,72,11704
Far Cry 3,220240.0,472,2012-11-28,Fall,Wii,Platform,Disney Interactive Studios,2.04,0.63,3.0,131.0,Junction Point,19.99,88,101450
Star Wars: The Old Republic,1286830.0,481,2011-12-20,Winter,PS4,Action,Warner Bros. Interactive Entertainment,1.01,1.43,2.96,1886.0,Monolith Productions,,85,406
Middle-Earth: Shadow of Mordor,241930.0,482,2014-09-30,Fall,PS2,Platform,Sega,1.04,1.37,2.96,94.0,Sonic Team,19.99,84,58279
Battlefield: Bad Company 2,24960.0,486,2010-03-02,Spring,N64,Racing,Nintendo,1.98,0.58,2.94,,,,87,31707
Call of Duty: Ghosts,209160.0,494,2014-03-25,Spring,X360,Sports,Electronic Arts,0.79,1.92,2.92,85.0,EA Sports,59.99,68,11710
BioShock,7670.0,517,2007-08-21,Summer,GC,Shooter,Nintendo,1.96,0.67,2.82,747.0,Retro Studios,19.99,96,23860
Medal of Honor,47830.0,523,2010-10-12,Fall,PS3,Racing,Electronic Arts,0.71,1.46,2.81,,,4.99,72,5830
Need for Speed: Hot Pursuit,47870.0,537,2010-11-16,Fall,Wii,Action,Activision,1.35,1.13,2.78,31.0,Toys for Bob,,86,17403
Battlefield 3,1238820.0,539,2011-10-28,Fall,PS4,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,2.78,836.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",1.99,89,11710
Mortal Kombat X,307780.0,540,2015-04-13,Spring,PS2,Simulation,Electronic Arts,1.41,1.12,2.77,46.0,Edge of Reality,19.99,84,35466
Saints Row: The Third,55230.0,546,2011-11-17,Fall,2600,Shooter,Atari,2.56,0.17,2.76,,,9.99,84,47911
L.A. Noire,110800.0,557,,,X360,Shooter,Activision,1.49,0.92,2.7,233.0,Treyarch,9.99,83,28109
Medal of Honor,47830.0,569,2010-10-12,Fall,XB,Role-Playing,Microsoft Game Studios,1.99,0.58,2.66,268.0,Big Blue Box,4.99,72,5830
Medal of Honor,47830.0,587,2010-10-12,Fall,PS2,Action,Electronic Arts,0.9,1.22,2.61,49.0,Electronic Arts,4.99,72,5830
Saints Row: The Third,55230.0,630,2011-11-17,Fall,PS3,Shooter,Sony Computer Entertainment,1.15,0.84,2.46,1889.0,Insomniac Games,9.99,84,47911
Call of Duty: Infinite Warfare,292730.0,641,2016-11-03,Fall,XOne,Sports,Electronic Arts,2.08,0.08,2.42,124.0,EA Sports,59.99,73,15634
Half-Life 2,220.0,666,2004-11-16,Fall,PS2,Action,THQ,0.96,1.08,2.37,22.0,Heavy Iron Studios,9.99,96,177809
Guild Wars 2,1284210.0,689,2022-08-23,Summer,PS,Sports,989 Studios,1.65,0.46,2.31,,,,90,332
Batman: Arkham Origins,209000.0,693,2013-10-24,Fall,PC,Action,Eidos Interactive,0.91,1.25,2.29,37.0,Core Design Ltd.,19.99,74,38470
The Sims 3,47890.0,702,2009-06-02,Summer,DS,Role-Playing,Nintendo,0.94,0.53,2.28,27.0,"HAL Labs, Creatures Inc.",19.99,86,29444
Battlefield 1,1238840.0,710,2016-10-20,Fall,PS2,Adventure,Capcom,0.62,0.44,2.25,52.0,Capcom,1.99,,159796
Borderlands 2,49520.0,728,2012-09-20,Fall,PS2,Action,Ubisoft,0.88,1.03,2.22,204.0,Ubisoft,19.99,89,199707
LEGO Marvel Super Heroes,249130.0,731,2013-11-15,Fall,GB,Adventure,Nintendo,1.0,0.63,2.22,,,19.99,78,18197
Resident Evil 4,2050650.0,733,2023-03-23,Spring,PS4,Shooter,Ubisoft,0.55,1.19,2.21,480.0,Ubisoft Montreal,19.99,91,111301
Need for Speed: Hot Pursuit,47870.0,743,2010-11-16,Fall,DS,Action,Activision,1.4,0.59,2.2,16.0,TT Fusion,,86,17403
BioShock 2,8850.0,745,2010-02-09,Winter,DS,Puzzle,Disney Interactive Studios,1.06,0.9,2.2,,,19.99,88,10855
Hitman: Absolution,203140.0,769,2012-11-19,Fall,PC,Simulation,Maxis,1.2,0.84,2.14,,,19.99,79,41531
Dying Light,239140.0,798,2015-01-26,Winter,3DS,Role-Playing,Nintendo,0.25,0.45,2.09,,,8.99,87,337597
Portal 2,620.0,809,2011-04-18,Spring,Wii,Sports,Nintendo,0.88,0.44,2.08,34.0,Square Enix,9.99,95,355457
Call of Duty 2,2630.0,843,2005-10-25,Fall,Wii,Misc,Ubisoft,0.72,1.08,2.03,29.0,"Ubisoft Paris, Ubisoft Montpellier",19.99,86,8113
Battlefield 4,1238860.0,848,2013-10-29,Fall,3DS,Role-Playing,Nintendo,0.9,0.45,2.01,1130.0,Intelligent Systems,,,
Resident Evil 6,221040.0,875,2013-03-22,Spring,XB,Action,Take-Two Interactive,1.26,0.61,1.95,118.0,Rockstar North,,,
Grand Theft Auto: San Andreas,12120.0,876,2005-06-06,Summer,PC,Shooter,LucasArts,1.09,0.77,1.95,,,,,
The Sims 3,47890.0,885,2009-06-02,Summer,X360,Sports,Electronic Arts,0.49,1.26,1.94,106.0,EA Canada,,,
Call of Duty: World at War,10090.0,888,2008-11-18,Fall,PS,Racing,Sony Computer Entertainment,1.41,0.42,1.94,,,,,
BioShock Infinite,8870.0,891,2013-03-25,Spring,PS2,Role-Playing,Activision,1.0,0.72,1.93,69.0,Raven Software,,,
Batman: Arkham Origins,209000.0,916,2013-10-24,Fall,Wii,Misc,Midway Games,1.28,0.43,1.88,7.0,Midway,,,
Just Cause 3,225540.0,939,2015-11-30,Fall,PS,Role-Playing,SquareSoft,0.62,0.42,1.86,297.0,SquareSoft,,,
Max Payne 3,204100.0,944,,,PS2,Racing,Unknown,0.0,1.1,1.84,,,,,
LEGO Marvel Super Heroes,249130.0,946,2013-11-15,Fall,DS,Action,Disney Interactive Studios,1.32,0.37,1.84,8.0,Altron,,,
